model,order,fourier_harmonics,rmse,mae,mape,elapsed_s,notes,sequence_length,units,learning_rate,max_depth,n_estimators
ARIMA,"[1, 1, 1]",0.0,231.37604505890306,162.86441207211033,13.978144958437655,4.083014457999525,"walk-forward one-step over validation slice, params fixed after fit; daily seasonality via Fourier regressors, not seasonal-ARIMA (s=144 impractical)",,,,,
ARIMA,"[1, 1, 1]",2.0,210.58158892900283,141.98066704465631,12.18937587068072,12.665469207999195,"walk-forward one-step over validation slice, params fixed after fit; daily seasonality via Fourier regressors, not seasonal-ARIMA (s=144 impractical)",,,,,
ARIMA,"[1, 1, 1]",4.0,208.47850627089585,141.2399868882991,12.438727925569147,12.050834499999837,"walk-forward one-step over validation slice, params fixed after fit; daily seasonality via Fourier regressors, not seasonal-ARIMA (s=144 impractical)",,,,,
ARIMA,"[2, 1, 2]",0.0,220.74599803130033,151.33682453972872,12.91777171198639,4.715630833999967,"walk-forward one-step over validation slice, params fixed after fit; daily seasonality via Fourier regressors, not seasonal-ARIMA (s=144 impractical)",,,,,
ARIMA,"[2, 1, 2]",2.0,211.312040072776,142.07640167996396,12.176369154570803,18.640287624999473,"walk-forward one-step over validation slice, params fixed after fit; daily seasonality via Fourier regressors, not seasonal-ARIMA (s=144 impractical)",,,,,
ARIMA,"[2, 1, 2]",4.0,209.42196670794854,141.2434963161742,12.420276008584867,19.119935291999354,"walk-forward one-step over validation slice, params fixed after fit; daily seasonality via Fourier regressors, not seasonal-ARIMA (s=144 impractical)",,,,,
ARIMA,"[3, 1, 1]",0.0,221.2112691778239,149.88534139530762,12.681406042823177,4.529200875000242,"walk-forward one-step over validation slice, params fixed after fit; daily seasonality via Fourier regressors, not seasonal-ARIMA (s=144 impractical)",,,,,
ARIMA,"[3, 1, 1]",2.0,210.2183445984787,141.06401308882192,12.104282008249513,18.027086333000625,"walk-forward one-step over validation slice, params fixed after fit; daily seasonality via Fourier regressors, not seasonal-ARIMA (s=144 impractical)",,,,,
ARIMA,"[3, 1, 1]",4.0,208.21015994178197,140.18529816796845,12.335755458546961,19.417736332999993,"walk-forward one-step over validation slice, params fixed after fit; daily seasonality via Fourier regressors, not seasonal-ARIMA (s=144 impractical)",,,,,
LSTM,,,247.70186050083956,180.65962163076895,23.246351033955364,5.241473999998561,15 tuning epochs w/ early stopping (patience=3),72.0,[32],0.001,,
LSTM,,,269.2613228077739,195.5817255864122,24.763376856242417,4.961823125000592,15 tuning epochs w/ early stopping (patience=3),72.0,[32],0.0005,,
LSTM,,,255.39151161499612,170.90765975131563,15.639372819116662,18.872486250000293,15 tuning epochs w/ early stopping (patience=3),72.0,"[64, 32]",0.001,,
LSTM,,,254.1844365239402,188.82324610466847,27.485128772780122,18.846691208000266,15 tuning epochs w/ early stopping (patience=3),72.0,"[64, 32]",0.0005,,
LSTM,,,254.04537547976523,174.09326339141847,18.47378377458196,9.433071040999494,15 tuning epochs w/ early stopping (patience=3),144.0,[32],0.001,,
LSTM,,,280.9820250754053,196.18808717864994,20.00294873304727,9.408788165999795,15 tuning epochs w/ early stopping (patience=3),144.0,[32],0.0005,,
LSTM,,,246.79443828662832,167.4887427760145,17.987367177864254,37.078185124999436,15 tuning epochs w/ early stopping (patience=3),144.0,"[64, 32]",0.001,,
LSTM,,,251.46027012093907,182.15528565298573,24.586124997368497,35.419933875000424,15 tuning epochs w/ early stopping (patience=3),144.0,"[64, 32]",0.0005,,
XGBoost,,,225.16219368536375,151.55664857993796,15.115045756427353,0.27630270900044707,early_stopping_rounds=20 on validation slice,,,0.05,4.0,300.0
XGBoost,,,226.41758439734232,151.67705547821046,13.94553089454201,0.07970408300025156,early_stopping_rounds=20 on validation slice,,,0.1,4.0,300.0
XGBoost,,,225.16219368536375,151.55664857993796,15.115045756427353,0.11744995799926983,early_stopping_rounds=20 on validation slice,,,0.05,4.0,500.0
XGBoost,,,226.41758439734232,151.67705547821046,13.94553089454201,0.08199441600118007,early_stopping_rounds=20 on validation slice,,,0.1,4.0,500.0
XGBoost,,,235.9997936643334,153.07498023143629,13.513353156284976,0.20107512499998847,early_stopping_rounds=20 on validation slice,,,0.05,6.0,300.0
XGBoost,,,238.25740993180963,152.8871870425415,13.388169543442233,0.12866145800035156,early_stopping_rounds=20 on validation slice,,,0.1,6.0,300.0
XGBoost,,,235.9997936643334,153.07498023143629,13.513353156284976,0.1978809160009405,early_stopping_rounds=20 on validation slice,,,0.05,6.0,500.0
XGBoost,,,238.25740993180963,152.8871870425415,13.388169543442233,0.12764429199887672,early_stopping_rounds=20 on validation slice,,,0.1,6.0,500.0
XGBoost,,,239.0621585526864,157.3529676160007,13.785400627449881,0.349804707999283,early_stopping_rounds=20 on validation slice,,,0.05,8.0,300.0
XGBoost,,,239.2147933976962,154.28789163403545,13.136692256734012,0.18301091600005748,early_stopping_rounds=20 on validation slice,,,0.1,8.0,300.0
XGBoost,,,239.0621585526864,157.3529676160007,13.785400627449881,0.34661433400106034,early_stopping_rounds=20 on validation slice,,,0.05,8.0,500.0
XGBoost,,,239.2147933976962,154.28789163403545,13.136692256734012,0.18398325000089244,early_stopping_rounds=20 on validation slice,,,0.1,8.0,500.0
