model,sequence_length,units,learning_rate,rmse,mae,mape,elapsed_s,filters
LSTM,72,[32],0.001,200.53422514889544,138.9603017618137,11.750471747717919,11.322265916001925,
LSTM,72,[32],0.0005,235.11292904680312,161.34921431111653,13.739283785520145,9.923433916002978,
LSTM,72,"[64, 32]",0.001,220.24058905923798,155.4849073699386,13.002072039059643,41.63782424999954,
LSTM,72,"[64, 32]",0.0005,229.625538656851,161.56045269522204,14.58766493575267,39.22935658299684,
LSTM,144,[32],0.001,285.8723026307335,198.83399760009766,14.126032993026444,18.654147499997634,
LSTM,144,[32],0.0005,308.3376397599882,217.58685641495316,17.442066169828067,18.66407925000385,
LSTM,144,"[64, 32]",0.001,228.3183465204838,166.43263510256165,17.35729114642462,75.84482383300201,
LSTM,144,"[64, 32]",0.0005,291.1466515098016,196.42048725258158,13.372469950744826,78.27470920899941,
TCN,72,,0.001,333.77521438422076,210.84665428051983,16.270173438462074,16.05466795800021,16.0
TCN,72,,0.0005,382.36262590334826,239.59086266355163,16.303744140791697,14.034321125000133,16.0
TCN,72,,0.001,275.2909858871161,216.72199542999266,29.744234879750703,22.850631584005896,32.0
TCN,72,,0.0005,316.19637897658026,256.447861019468,44.32315082269171,21.956979583999782,32.0
TCN,144,,0.001,289.1308690874508,203.2746393733159,19.20220290040693,19.67246941600024,16.0
TCN,144,,0.0005,326.9912433357545,211.6769825048828,18.467146684974292,22.253774125005293,16.0
TCN,144,,0.001,239.41484021955193,164.41114502960207,13.969988159533022,31.29068895799719,32.0
TCN,144,,0.0005,295.83943719450644,202.14446565646705,14.538510169660224,31.844793457996275,32.0
